dataset,model,feature,value,abs_value,interpretation,source
UCI enrolment,Neural Network,father_s_occupation,0.061085662193550966,0.061085662193550966,PR-AUC drop when the feature is shuffled,permutation_importance
UCI enrolment,Neural Network,mother_s_qualification,0.05745265957255606,0.05745265957255606,PR-AUC drop when the feature is shuffled,permutation_importance
UCI enrolment,Neural Network,father_s_qualification,0.05129461863230786,0.05129461863230786,PR-AUC drop when the feature is shuffled,permutation_importance
UCI enrolment,Neural Network,scholarship_holder,0.03305632022123044,0.03305632022123044,PR-AUC drop when the feature is shuffled,permutation_importance
UCI enrolment,Neural Network,previous_qualification,0.03215102613474807,0.03215102613474807,PR-AUC drop when the feature is shuffled,permutation_importance
UCI enrolment,Neural Network,gender,0.01922212745776644,0.01922212745776644,PR-AUC drop when the feature is shuffled,permutation_importance
UCI enrolment,Neural Network,marital_status,0.015278588887384578,0.015278588887384578,PR-AUC drop when the feature is shuffled,permutation_importance
UCI enrolment,Neural Network,nationality,0.013862691086669043,0.013862691086669043,PR-AUC drop when the feature is shuffled,permutation_importance
OULAD day 30,Logistic Regression,code_module_GGG,-1.123737386512586,1.123737386512586,associated with lower risk,logistic_coefficient
OULAD day 30,Logistic Regression,code_module_CCC,0.8911124201316311,0.8911124201316311,associated with higher risk,logistic_coefficient
OULAD day 30,Logistic Regression,code_module_BBB,-0.5624936991532664,0.5624936991532664,associated with lower risk,logistic_coefficient
OULAD day 30,Logistic Regression,code_module_DDD,0.5593436729850444,0.5593436729850444,associated with higher risk,logistic_coefficient
OULAD day 30,Logistic Regression,highest_education_No Formal quals,0.38125727042675217,0.38125727042675217,associated with higher risk,logistic_coefficient
OULAD day 30,Logistic Regression,code_module_FFF,0.3222765547297197,0.3222765547297197,associated with higher risk,logistic_coefficient
OULAD day 30,Logistic Regression,unique_sites,-0.3197217528558932,0.3197217528558932,associated with lower risk,logistic_coefficient
OULAD day 30,Logistic Regression,active_days,-0.2750818972994148,0.2750818972994148,associated with lower risk,logistic_coefficient
OULAD day 30,Logistic Regression,disability_Y,0.25903335830968094,0.25903335830968094,associated with higher risk,logistic_coefficient
OULAD day 30,Logistic Regression,highest_education_Post Graduate Qualification,-0.25867151735110694,0.25867151735110694,associated with lower risk,logistic_coefficient
OULAD day 30,Logistic Regression,disability_N,-0.23114059703403528,0.23114059703403528,associated with lower risk,logistic_coefficient
OULAD day 30,Logistic Regression,highest_education_Lower Than A Level,0.21459728506828044,0.21459728506828044,associated with higher risk,logistic_coefficient
OULAD day 30,Neural Network,region,0.49285897374327536,0.49285897374327536,PR-AUC drop when the feature is shuffled,permutation_importance
OULAD day 30,Neural Network,code_module,0.47969785679754895,0.47969785679754895,PR-AUC drop when the feature is shuffled,permutation_importance
OULAD day 30,Neural Network,imd_band,0.45629133585563997,0.45629133585563997,PR-AUC drop when the feature is shuffled,permutation_importance
OULAD day 30,Neural Network,code_presentation,0.32164597284014795,0.32164597284014795,PR-AUC drop when the feature is shuffled,permutation_importance
OULAD day 30,Neural Network,highest_education,0.27934963120502904,0.27934963120502904,PR-AUC drop when the feature is shuffled,permutation_importance
OULAD day 30,Neural Network,gender,0.21727785328516913,0.21727785328516913,PR-AUC drop when the feature is shuffled,permutation_importance
OULAD day 30,Neural Network,age_band,0.1808060902647568,0.1808060902647568,PR-AUC drop when the feature is shuffled,permutation_importance
OULAD day 30,Neural Network,average_clicks_per_active_day,0.1731456505265806,0.1731456505265806,PR-AUC drop when the feature is shuffled,permutation_importance
OULAD day 30,Neural Network,unique_sites,0.17132583974176419,0.17132583974176419,PR-AUC drop when the feature is shuffled,permutation_importance
OULAD day 30,Neural Network,active_days,0.165561492744487,0.165561492744487,PR-AUC drop when the feature is shuffled,permutation_importance
OULAD day 30,Neural Network,clicks_subpage,0.15427341497964298,0.15427341497964298,PR-AUC drop when the feature is shuffled,permutation_importance
OULAD day 30,Neural Network,clicks_oucontent,0.1452774165618194,0.1452774165618194,PR-AUC drop when the feature is shuffled,permutation_importance
